,GeneStableID,GeneName,Gene description,baseMean,log2FoldChange,FoldChange,pvalue,padj,neglogpadj,Ctrl_rep1,Ctrl_rep2,dnBMPR1A_rep1,dnBMPR1A_rep2,lfcSE,stat
0,ENSGALG00000002003,BMPR1A,bone morphogenetic protein receptor type 1A [Source:NCBI gene;Acc:396308],25172.580159999998,5.641568091,49.920763390086265,7.539999999999996e-162,6.999999999999997e-158,157.15490195998575,832.323055,1144.1280789999998,43311.93029,55401.939229999996,0.20810027,27.1098548
2136,ENSGALG00000034661,ID1,"inhibitor of DNA binding 1, HLH protein [Source:NCBI gene;Acc:395282]",9043.870820999999,-2.2663144330000002,0.20786021686577238,3.71e-26,1.72e-22,21.764471553092452,16314.58545,13635.34722,3700.466203,2525.084406,0.214218205,-10.57946703
2246,ENSGALG00000028415,HES6-2,hairy and enhancer of split 6 (Drosophila) [Source:NCBI gene;Acc:424829],1245.584701,2.436686242,5.413967555940999,3.2e-18,9.909999999999999e-15,14.003926345514724,501.50097999999997,276.1051619,2311.6542489999997,1893.078414,0.27994754899999996,8.704081354
2366,ENSGALG00000025817,NHLH1,nescient helix-loop-helix 1 [Source:NCBI gene;Acc:373910],675.1065798,2.652073637,6.285700955368753,2.08e-14,4.8300000000000004e-11,10.316052869248487,263.3933718,108.0411503,1116.912088,1212.079709,0.346875172,7.645613909
2416,ENSGALG00000039474,ID4,"inhibitor of DNA binding 4, HLH protein [Source:NCBI gene;Acc:374150]",947.2170382999999,-1.9221226519999999,0.2638659956539615,8.97e-13,1.6699999999999998e-09,8.777283528852417,1843.753603,1154.285794,387.1288051,403.6999516,0.269001803,-7.145389477
2926,ENSGALG00000009129,DLX5,distal-less homeobox 5 [Source:NCBI gene;Acc:373969],751.5077683,-1.541066465,0.3436313424229861,8.540000000000001e-11,1.2099999999999998e-07,6.91721462968355,1127.323631,1109.961219,369.9455423,398.8006803,0.23742634,-6.490713985
3806,ENSGALG00000001136,HES5-3,hairy and enhancer of split 5-like [Source:NCBI gene;Acc:419390],33872.79175,1.550936286,2.930072345054435,9.11e-11,1.2099999999999998e-07,6.91721462968355,22099.75747,12376.71399,53564.27355,47450.42198,0.23930669699999998,6.480956462999999
3926,ENSGALG00000033178,KLF6,Kruppel like factor 6 [Source:NCBI gene;Acc:420463],1161.292027,1.385637447,2.6128738033205625,2.07e-10,2.4e-07,6.619788758288394,598.4297408,687.0309043999999,1626.345294,1733.362171,0.217992436,6.3563556310000005
4094,ENSGALG00000006995,APOD,apolipoprotein D [Source:NCBI gene;Acc:424893],2508.643905,1.389015951,2.6189998026920542,2.75e-10,2.84e-07,6.546681659952962,1150.502248,1621.540683,3870.277271,3392.2554189999996,0.220052363,6.312206487
4550,ENSGALG00000013573,ALG2,"ALG2, alpha-1,3/1,6-mannosyltransferase [Source:NCBI gene;Acc:420998]",2218.698938,-1.186676102,0.4393138529557975,4.4499999999999996e-10,4.1299999999999995e-07,6.384049948343599,3164.9347559999997,3001.143064,1326.143583,1382.574349,0.19024971,-6.237466023
5054,ENSGALG00000005331,GJC2,gap junction protein gamma 2 [Source:NCBI gene;Acc:420397],992.6846864,1.791667036,3.46214713034229,5.92e-10,4.5899999999999997e-07,6.338187314462739,360.3221327,529.1246077999999,1173.5157769999998,1907.7762280000002,0.289330248,6.192463621
5180,ENSGALG00000000242,EBF2,early B-cell factor 2 [Source:NCBI gene;Acc:395176],651.3444566000001,1.774463741,3.4211082184938286,5.47e-10,4.5899999999999997e-07,6.338187314462739,252.857637,336.1280231,827.8289593,1188.563207,0.285979502,6.204863385
5404,ENSGALG00000054080,RIPPLY3,ripply transcriptional repressor 3 [Source:NCBI gene;Acc:101749102],683.6820215,1.5841611930000001,2.9983341900953406,1.3800000000000002e-09,9.88e-07,6.005243055412372,317.12561969999996,366.60116810000005,1158.354075,892.6472231,0.261521098,6.057489068
5428,ENSGALG00000035016,ID2,"inhibitor of DNA binding 2, HLH protein [Source:NCBI gene;Acc:395852]",48676.37775,-1.384739873,0.38295854288554304,3.3799999999999995e-09,1.96e-06,5.707743928643524,84933.82668,55855.42784,31986.13848,21930.118,0.234233933,-5.911781676
7815,ENSGALG00000015013,MSX1,msh homeobox 1 [Source:NCBI gene;Acc:396484],2933.591226,-1.3406765459999999,0.39483545602173553,3.24e-09,1.96e-06,5.707743928643524,4864.348790999999,3548.7362439999997,1427.2216,1894.058268,0.22649735399999998,-5.9191709029999995
8981,ENSGALG00000006110,PLK1,polo like kinase 1 [Source:NCBI gene;Acc:416575],3194.5019420000003,-1.0752398440000002,0.47459215430330076,4.379999999999999e-09,2.39e-06,5.621602099051862,4342.829915,4322.56944,2150.9402019999998,1961.668211,0.18320333,-5.869106455
12177,ENSGALG00000038848,MSX2,msh homeobox 2 [Source:NCBI gene;Acc:395245],576.0861549,-1.54383451,0.34297266191730313,1.98e-08,9.68e-06,5.014124642691606,852.3409513,863.4057736999999,342.6544777,245.9434171,0.275010304,-5.613733323
13689,ENSGALG00000036638,TACR1,tachykinin receptor 1 [Source:NCBI gene;Acc:395677],767.706027,1.768033175,3.4058931491454327,3.94e-08,1.83e-05,4.73754891026957,475.16164280000004,222.54630099999997,1117.9228679999999,1255.1932960000001,0.321847628,5.493385754
13923,ENSGALG00000007710,RASL11AL,ras-like protein family member 11A-like [Source:NCBI gene;Acc:422321],4432.049897999999,0.9558579079999999,1.9397327656969332,7.96e-08,3.52e-05,4.453457336521869,2979.505822,3051.00821,5578.495759,6119.1898,0.17806802800000002,5.367936736
13953,ENSGALG00000043035,SHISA2,shisa family member 2 [Source:NCBI gene;Acc:395162],1361.034553,-1.3540321469999999,0.39119717388004666,8.71e-08,3.68e-05,4.434152181326482,2324.183113,1589.220681,871.2925065999999,659.4419112,0.253008915,-5.351717136
13993,ENSGALG00000016293,BMP5,bone morphogenetic protein 5 [Source:NCBI gene;Acc:396053],2149.241411,1.4067044180000001,2.6513082600590954,1.0300000000000001e-07,4.1700000000000004e-05,4.379863945026242,1529.7887039999998,825.5451997,3009.092566,3232.539176,0.264375808,5.32085152
14537,ENSGALG00000014994,CRHBP,corticotropin releasing hormone binding protein [Source:NCBI gene;Acc:427214],3598.9893340000003,1.104901887,2.1508425041338897,1.1599999999999999e-07,4.5e-05,4.346787486224656,2573.8800300000003,1995.52928,5430.921854,4395.626172,0.208498828,5.299319401
14953,ENSGALG00000003661,SETX,senataxin [Source:NCBI gene;Acc:417170],1024.812978,1.322530356,2.501043856847244,1.98e-07,7.35e-05,4.133712660915805,465.67948139999993,704.5760485000001,1512.127134,1416.869248,0.254265499,5.201375574
15761,ENSGALG00000028354,METRNL,"meteorin, glial cell differentiation regulator-like [Source:NCBI gene;Acc:417332]",2411.521486,-0.99980631,0.5000671323450497,3e-07,0.000107204,3.969789009927592,3467.310347,2963.28249,1652.625578,1562.867531,0.19514409600000002,-5.123425871999999
15842,ENSGALG00000017119,TNFRSF19,TNF receptor superfamily member 19 [Source:NCBI gene;Acc:418943],14473.879630000001,0.8771948390000001,1.8368003716057548,4.0700000000000003e-07,0.00014007899999999998,3.8536269672675005,10774.89606,9634.130948,19734.47204,17752.01947,0.17316705699999999,5.06559881
15927,ENSGALG00000005769,WEE1,WEE1 G2 checkpoint kinase [Source:NCBI gene;Acc:423045],2040.2672,-0.968404605,0.5110709149499232,6.520000000000001e-07,0.000208812,3.6802445469339906,2824.6305199999997,2576.3658920000003,1339.283725,1420.788665,0.194646752,-4.975190171
16481,ENSGALG00000016906,SPRY2,sprouty RTK signaling antagonist 2 [Source:NCBI gene;Acc:395584],856.3636514000001,-1.144602248,0.4523143749712808,1.26e-06,0.000335118,3.4748022445290156,1265.341758,1093.3395039999998,567.0476754,499.7256683,0.236216745,-4.845559318
